,[0 0 0 0 0 0],[0 0 0 0 0 1],[0 0 0 0 1 0],[0 0 0 0 1 1],[0 0 0 1 0 0],[0 0 0 1 0 1],[0 0 0 1 1 0],[0 0 0 1 1 1],[0 0 1 0 0 0],[0 0 1 0 0 1],[0 0 1 0 1 0],[0 0 1 0 1 1],[0 0 1 1 0 0],[0 0 1 1 0 1],[0 0 1 1 1 0],[0 0 1 1 1 1],[0 1 0 0 0 0],[0 1 0 0 0 1],[0 1 0 0 1 0],[0 1 0 0 1 1],[0 1 0 1 0 0],[0 1 0 1 0 1],[0 1 0 1 1 0],[0 1 0 1 1 1],[0 1 1 0 0 0],[0 1 1 0 0 1],[0 1 1 0 1 0],[0 1 1 0 1 1],[0 1 1 1 0 0],[0 1 1 1 0 1],[0 1 1 1 1 0],[0 1 1 1 1 1],[1 0 0 0 0 0],[1 0 0 0 0 1],[1 0 0 0 1 0],[1 0 0 0 1 1],[1 0 0 1 0 0],[1 0 0 1 0 1],[1 0 0 1 1 0],[1 0 0 1 1 1],[1 0 1 0 0 0],[1 0 1 0 0 1],[1 0 1 0 1 0],[1 0 1 0 1 1],[1 0 1 1 0 0],[1 0 1 1 0 1],[1 0 1 1 1 0],[1 0 1 1 1 1],[1 1 0 0 0 0],[1 1 0 0 0 1],[1 1 0 0 1 0],[1 1 0 0 1 1],[1 1 0 1 0 0],[1 1 0 1 0 1],[1 1 0 1 1 0],[1 1 0 1 1 1],[1 1 1 0 0 0],[1 1 1 0 0 1],[1 1 1 0 1 0],[1 1 1 0 1 1],[1 1 1 1 0 0],[1 1 1 1 0 1],[1 1 1 1 1 0],[1 1 1 1 1 1]
[0 0 1 0 1 0],0.633,0.458,0.538,0.446,0.476,0.574,0.484,0.471,0.476,0.475,1.0,0.438,0.484,0.492,0.484,0.507,0.492,0.458,0.538,0.438,0.283,0.429,0.467,0.463,0.484,0.492,0.5,0.493,0.476,0.508,0.484,0.561,0.554,0.467,0.538,0.455,0.476,0.583,0.484,0.478,0.421,0.429,0.5,0.41,0.468,0.515,0.484,0.514,0.507,0.484,0.538,0.478,0.411,0.5,0.5,0.5,0.484,0.5,0.5,0.5,0.476,0.515,0.484,0.636
[0 0 1 0 1 1],0.677,0.534,0.593,0.5,0.552,0.681,0.5,0.483,0.552,0.557,0.562,1.0,0.508,0.518,0.474,0.5,0.565,0.542,0.6,0.5,0.524,0.629,0.362,0.348,0.508,0.518,0.509,0.5,0.474,0.509,0.444,0.545,0.605,0.534,0.586,0.5,0.545,0.681,0.492,0.483,0.531,0.542,0.582,0.5,0.444,0.5,0.423,0.464,0.545,0.526,0.564,0.5,0.5,0.589,0.444,0.444,0.5,0.518,0.5,0.5,0.464,0.509,0.434,0.634
[0 0 1 1 0 0],0.634,0.426,0.475,0.491,0.5,0.459,0.63,0.476,0.483,0.475,0.516,0.492,1.0,0.484,0.508,0.522,0.5,0.456,0.5,0.509,0.5,0.542,0.561,0.507,0.348,0.354,0.508,0.537,0.5,0.507,0.517,0.582,0.545,0.436,0.475,0.5,0.5,0.468,0.63,0.484,0.483,0.483,0.557,0.516,0.5,0.522,0.525,0.542,0.464,0.426,0.446,0.5,0.5,0.522,0.576,0.529,0.444,0.456,0.508,0.544,0.5,0.515,0.517,0.656
[0 0 1 1 0 1],0.67,0.517,0.523,0.545,0.537,0.5,0.653,0.5,0.537,0.533,0.508,0.482,0.516,1.0,0.508,0.523,0.551,0.517,0.523,0.537,0.483,0.533,0.528,0.475,0.516,0.517,0.34,0.383,0.492,0.5,0.491,0.569,0.597,0.517,0.516,0.545,0.53,0.5,0.646,0.5,0.5,0.5,0.516,0.463,0.475,0.5,0.482,0.508,0.544,0.517,0.5,0.554,0.436,0.462,0.5,0.456,0.508,0.517,0.426,0.473,0.483,0.5,0.482,0.648
[0 0 1 1 1 0],0.655,0.491,0.5,0.558,0.516,0.492,0.5,0.681,0.516,0.525,0.516,0.526,0.492,0.492,1.0,0.578,0.531,0.509,0.516,0.566,0.492,0.552,0.5,0.589,0.492,0.509,0.483,0.55,0.348,0.388,0.5,0.63,0.577,0.5,0.5,0.566,0.516,0.5,0.5,0.688,0.5,0.517,0.545,0.534,0.474,0.516,0.5,0.585,0.516,0.5,0.483,0.574,0.474,0.516,0.5,0.596,0.455,0.481,0.444,0.526,0.444,0.483,0.5,0.7
[0 0 1 1 1 1],0.636,0.492,0.486,0.536,0.507,0.485,0.464,0.636,0.507,0.515,0.493,0.5,0.478,0.477,0.422,1.0,0.52,0.5,0.493,0.536,0.478,0.534,0.456,0.538,0.478,0.492,0.456,0.516,0.429,0.452,0.213,0.4,0.561,0.492,0.479,0.536,0.5,0.485,0.456,0.636,0.486,0.5,0.513,0.5,0.455,0.493,0.413,0.5,0.5,0.484,0.456,0.536,0.455,0.493,0.448,0.538,0.438,0.458,0.413,0.483,0.333,0.37,0.196,0.571
[0 1 0 0 0 0],0.571,0.191,0.385,0.316,0.519,0.406,0.443,0.418,0.636,0.441,0.508,0.435,0.5,0.449,0.469,0.48,1.0,0.406,0.508,0.435,0.536,0.506,0.485,0.466,0.538,0.449,0.5,0.48,0.5,0.472,0.477,0.541,0.4,0.208,0.467,0.409,0.552,0.449,0.477,0.458,0.636,0.449,0.549,0.458,0.5,0.486,0.485,0.5,0.5,0.415,0.492,0.458,0.536,0.486,0.5,0.487,0.538,0.457,0.5,0.487,0.5,0.479,0.477,0.618
[0 1 0 0 0 1],0.708,0.5,0.509,0.429,0.577,0.444,0.473,0.439,0.708,0.5,0.542,0.458,0.544,0.483,0.491,0.5,0.594,1.0,0.542,0.458,0.585,0.545,0.508,0.484,0.6,0.5,0.526,0.5,0.536,0.5,0.491,0.562,0.639,0.5,0.413,0.333,0.6,0.483,0.5,0.475,0.702,0.5,0.578,0.475,0.536,0.516,0.5,0.515,0.587,0.5,0.518,0.475,0.577,0.516,0.517,0.5,0.593,0.5,0.518,0.5,0.527,0.5,0.482,0.64
[0 1 0 0 1 0],0.633,0.458,0.5,0.446,0.491,0.404,0.484,0.471,0.441,0.556,0.462,0.4,0.5,0.477,0.484,0.507,0.492,0.458,1.0,0.438,0.481,0.493,0.467,0.463,0.484,0.525,0.5,0.493,0.492,0.493,0.484,0.561,0.554,0.467,0.5,0.455,0.4,0.32,0.484,0.478,0.459,0.583,0.533,0.446,0.483,0.5,0.484,0.514,0.507,0.484,0.5,0.478,0.5,0.485,0.5,0.5,0.484,0.533,0.5,0.5,0.492,0.5,0.484,0.636
[0 1 0 0 1 1],0.677,0.534,0.556,0.5,0.607,0.525,0.464,0.444,0.552,0.694,0.562,0.5,0.491,0.463,0.434,0.464,0.565,0.542,0.562,1.0,0.579,0.574,0.492,0.483,0.508,0.558,0.509,0.5,0.491,0.491,0.444,0.545,0.605,0.534,0.548,0.5,0.6,0.525,0.362,0.348,0.531,0.681,0.582,0.5,0.5,0.517,0.464,0.5,0.545,0.526,0.525,0.5,0.556,0.532,0.483,0.483,0.5,0.558,0.5,0.5,0.481,0.491,0.434,0.634
