number of characters,length of case,case,expected value
11,3,[1. 6. 8.],1331.0
11,3,[1. 6. 9.],1331.0
11,3,[ 1.  6. 10.],1331.0
11,3,[1. 7. 0.],1331.0
11,3,[1. 7. 1.],1342.0
11,3,[1. 7. 2.],1331.0
11,3,[1. 7. 3.],1331.0
11,3,[1. 7. 4.],1331.0
11,3,[1. 7. 5.],1331.0
11,3,[1. 7. 6.],1331.0
11,3,[1. 7. 7.],1331.0
11,3,[1. 7. 8.],1331.0
11,3,[1. 7. 9.],1331.0
11,3,[ 1.  7. 10.],1331.0
11,3,[1. 8. 0.],1331.0
11,3,[1. 8. 1.],1342.0
11,3,[1. 8. 2.],1331.0
11,3,[1. 8. 3.],1331.0
11,3,[1. 8. 4.],1331.0
11,3,[1. 8. 5.],1331.0
11,3,[1. 8. 6.],1331.0
11,3,[1. 8. 7.],1331.0
11,3,[1. 8. 8.],1331.0
11,3,[1. 8. 9.],1331.0
11,3,[ 1.  8. 10.],1331.0
11,3,[1. 9. 0.],1331.0
11,3,[1. 9. 1.],1342.0
11,3,[1. 9. 2.],1331.0
11,3,[1. 9. 3.],1331.0
11,3,[1. 9. 4.],1331.0
11,3,[1. 9. 5.],1331.0
11,3,[1. 9. 6.],1331.0
11,3,[1. 9. 7.],1331.0
11,3,[1. 9. 8.],1331.0
11,3,[1. 9. 9.],1331.0
11,3,[ 1.  9. 10.],1331.0
11,3,[ 1. 10.  0.],1331.0
11,3,[ 1. 10.  1.],1342.0
11,3,[ 1. 10.  2.],1331.0
11,3,[ 1. 10.  3.],1331.0
11,3,[ 1. 10.  4.],1331.0
11,3,[ 1. 10.  5.],1331.0
11,3,[ 1. 10.  6.],1331.0
11,3,[ 1. 10.  7.],1331.0
11,3,[ 1. 10.  8.],1331.0
11,3,[ 1. 10.  9.],1331.0
11,3,[ 1. 10. 10.],1331.0
11,3,[2. 0. 0.],1331.0
11,3,[2. 0. 1.],1331.0
11,3,[2. 0. 2.],1342.0
11,3,[2. 0. 3.],1331.0
11,3,[2. 0. 4.],1331.0
11,3,[2. 0. 5.],1331.0
11,3,[2. 0. 6.],1331.0
11,3,[2. 0. 7.],1331.0
11,3,[2. 0. 8.],1331.0
11,3,[2. 0. 9.],1331.0
11,3,[ 2.  0. 10.],1331.0
11,3,[2. 1. 0.],1331.0
11,3,[2. 1. 1.],1331.0
11,3,[2. 1. 2.],1342.0
11,3,[2. 1. 3.],1331.0
11,3,[2. 1. 4.],1331.0
11,3,[2. 1. 5.],1331.0
11,3,[2. 1. 6.],1331.0
11,3,[2. 1. 7.],1331.0
11,3,[2. 1. 8.],1331.0
11,3,[2. 1. 9.],1331.0
11,3,[ 2.  1. 10.],1331.0
11,3,[2. 2. 0.],1342.0
11,3,[2. 2. 1.],1342.0
11,3,[2. 2. 2.],1463.0
11,3,[2. 2. 3.],1342.0
11,3,[2. 2. 4.],1342.0
11,3,[2. 2. 5.],1342.0
11,3,[2. 2. 6.],1342.0
11,3,[2. 2. 7.],1342.0
11,3,[2. 2. 8.],1342.0
11,3,[2. 2. 9.],1342.0
11,3,[ 2.  2. 10.],1342.0
11,3,[2. 3. 0.],1331.0
11,3,[2. 3. 1.],1331.0
11,3,[2. 3. 2.],1342.0
11,3,[2. 3. 3.],1331.0
11,3,[2. 3. 4.],1331.0
11,3,[2. 3. 5.],1331.0
11,3,[2. 3. 6.],1331.0
11,3,[2. 3. 7.],1331.0
