number_of_characters,length_of_case,absorbing_state,expected_value
10,3,[3. 8. 7.],1000
10,3,[3. 8. 8.],1000
10,3,[3. 8. 9.],1000
10,3,[3. 9. 0.],1000
10,3,[3. 9. 1.],1000
10,3,[3. 9. 2.],1000
10,3,[3. 9. 3.],1010
10,3,[3. 9. 4.],1000
10,3,[3. 9. 5.],1000
10,3,[3. 9. 6.],1000
10,3,[3. 9. 7.],1000
10,3,[3. 9. 8.],1000
10,3,[3. 9. 9.],1000
10,3,[4. 0. 0.],1000
10,3,[4. 0. 1.],1000
10,3,[4. 0. 2.],1000
10,3,[4. 0. 3.],1000
10,3,[4. 0. 4.],1010
10,3,[4. 0. 5.],1000
10,3,[4. 0. 6.],1000
10,3,[4. 0. 7.],1000
10,3,[4. 0. 8.],1000
10,3,[4. 0. 9.],1000
10,3,[4. 1. 0.],1000
10,3,[4. 1. 1.],1000
10,3,[4. 1. 2.],1000
10,3,[4. 1. 3.],1000
10,3,[4. 1. 4.],1010
10,3,[4. 1. 5.],1000
10,3,[4. 1. 6.],1000
10,3,[4. 1. 7.],1000
10,3,[4. 1. 8.],1000
10,3,[4. 1. 9.],1000
10,3,[4. 2. 0.],1000
10,3,[4. 2. 1.],1000
10,3,[4. 2. 2.],1000
10,3,[4. 2. 3.],1000
10,3,[4. 2. 4.],1010
10,3,[4. 2. 5.],1000
10,3,[4. 2. 6.],1000
10,3,[4. 2. 7.],1000
10,3,[4. 2. 8.],1000
10,3,[4. 2. 9.],1000
10,3,[4. 3. 0.],1000
10,3,[4. 3. 1.],1000
10,3,[4. 3. 2.],1000
10,3,[4. 3. 3.],1000
10,3,[4. 3. 4.],1010
10,3,[4. 3. 5.],1000
10,3,[4. 3. 6.],1000
10,3,[4. 3. 7.],1000
10,3,[4. 3. 8.],1000
10,3,[4. 3. 9.],1000
10,3,[4. 4. 0.],1100
10,3,[4. 4. 1.],1100
10,3,[4. 4. 2.],1100
10,3,[4. 4. 3.],1100
10,3,[4. 4. 4.],1110
10,3,[4. 4. 5.],1100
10,3,[4. 4. 6.],1100
10,3,[4. 4. 7.],1100
10,3,[4. 4. 8.],1100
10,3,[4. 4. 9.],1100
10,3,[4. 5. 0.],1000
10,3,[4. 5. 1.],1000
10,3,[4. 5. 2.],1000
10,3,[4. 5. 3.],1000
10,3,[4. 5. 4.],1010
10,3,[4. 5. 5.],1000
10,3,[4. 5. 6.],1000
10,3,[4. 5. 7.],1000
10,3,[4. 5. 8.],1000
10,3,[4. 5. 9.],1000
10,3,[4. 6. 0.],1000
10,3,[4. 6. 1.],1000
10,3,[4. 6. 2.],1000
10,3,[4. 6. 3.],1000
10,3,[4. 6. 4.],1010
10,3,[4. 6. 5.],1000
10,3,[4. 6. 6.],1000
10,3,[4. 6. 7.],1000
10,3,[4. 6. 8.],1000
10,3,[4. 6. 9.],1000
10,3,[4. 7. 0.],1000
10,3,[4. 7. 1.],1000
10,3,[4. 7. 2.],1000
10,3,[4. 7. 3.],1000
10,3,[4. 7. 4.],1010
10,3,[4. 7. 5.],1000
10,3,[4. 7. 6.],1000
10,3,[4. 7. 7.],1000
10,3,[4. 7. 8.],1000
10,3,[4. 7. 9.],1000
10,3,[4. 8. 0.],1000
10,3,[4. 8. 1.],1000
10,3,[4. 8. 2.],1000
10,3,[4. 8. 3.],1000
10,3,[4. 8. 4.],1010
10,3,[4. 8. 5.],1000
