number_of_characters,length_of_case,absorbing_state,expected_value
3,5,[0. 1. 0. 0. 2.],279
3,5,[0. 1. 0. 1. 0.],273
3,5,[0. 1. 0. 1. 1.],270
3,5,[0. 1. 0. 1. 2.],270
3,5,[0. 1. 0. 2. 0.],273
3,5,[0. 1. 0. 2. 1.],270
3,5,[0. 1. 0. 2. 2.],270
3,5,[0. 1. 1. 0. 0.],255
3,5,[0. 1. 1. 0. 1.],252
3,5,[0. 1. 1. 0. 2.],252
3,5,[0. 1. 1. 1. 0.],246
3,5,[0. 1. 1. 1. 1.],243
3,5,[0. 1. 1. 1. 2.],243
3,5,[0. 1. 1. 2. 0.],246
3,5,[0. 1. 1. 2. 1.],243
3,5,[0. 1. 1. 2. 2.],243
3,5,[0. 1. 2. 0. 0.],255
3,5,[0. 1. 2. 0. 1.],252
3,5,[0. 1. 2. 0. 2.],252
3,5,[0. 1. 2. 1. 0.],246
3,5,[0. 1. 2. 1. 1.],243
3,5,[0. 1. 2. 1. 2.],243
3,5,[0. 1. 2. 2. 0.],246
3,5,[0. 1. 2. 2. 1.],243
3,5,[0. 1. 2. 2. 2.],243
3,5,[0. 2. 0. 0. 0.],282
3,5,[0. 2. 0. 0. 1.],279
3,5,[0. 2. 0. 0. 2.],279
3,5,[0. 2. 0. 1. 0.],273
3,5,[0. 2. 0. 1. 1.],270
3,5,[0. 2. 0. 1. 2.],270
3,5,[0. 2. 0. 2. 0.],273
3,5,[0. 2. 0. 2. 1.],270
3,5,[0. 2. 0. 2. 2.],270
3,5,[0. 2. 1. 0. 0.],255
3,5,[0. 2. 1. 0. 1.],252
3,5,[0. 2. 1. 0. 2.],252
3,5,[0. 2. 1. 1. 0.],246
3,5,[0. 2. 1. 1. 1.],243
3,5,[0. 2. 1. 1. 2.],243
3,5,[0. 2. 1. 2. 0.],246
3,5,[0. 2. 1. 2. 1.],243
3,5,[0. 2. 1. 2. 2.],243
3,5,[0. 2. 2. 0. 0.],255
3,5,[0. 2. 2. 0. 1.],252
3,5,[0. 2. 2. 0. 2.],252
3,5,[0. 2. 2. 1. 0.],246
3,5,[0. 2. 2. 1. 1.],243
3,5,[0. 2. 2. 1. 2.],243
3,5,[0. 2. 2. 2. 0.],246
3,5,[0. 2. 2. 2. 1.],243
3,5,[0. 2. 2. 2. 2.],243
3,5,[1. 0. 0. 0. 0.],243
3,5,[1. 0. 0. 0. 1.],246
3,5,[1. 0. 0. 0. 2.],243
3,5,[1. 0. 0. 1. 0.],252
3,5,[1. 0. 0. 1. 1.],255
3,5,[1. 0. 0. 1. 2.],252
3,5,[1. 0. 0. 2. 0.],243
3,5,[1. 0. 0. 2. 1.],246
3,5,[1. 0. 0. 2. 2.],243
3,5,[1. 0. 1. 0. 0.],270
3,5,[1. 0. 1. 0. 1.],273
3,5,[1. 0. 1. 0. 2.],270
3,5,[1. 0. 1. 1. 0.],279
3,5,[1. 0. 1. 1. 1.],282
3,5,[1. 0. 1. 1. 2.],279
3,5,[1. 0. 1. 2. 0.],270
3,5,[1. 0. 1. 2. 1.],273
3,5,[1. 0. 1. 2. 2.],270
3,5,[1. 0. 2. 0. 0.],243
3,5,[1. 0. 2. 0. 1.],246
3,5,[1. 0. 2. 0. 2.],243
3,5,[1. 0. 2. 1. 0.],252
3,5,[1. 0. 2. 1. 1.],255
3,5,[1. 0. 2. 1. 2.],252
3,5,[1. 0. 2. 2. 0.],243
3,5,[1. 0. 2. 2. 1.],246
3,5,[1. 0. 2. 2. 2.],243
3,5,[1. 1. 0. 0. 0.],324
3,5,[1. 1. 0. 0. 1.],327
3,5,[1. 1. 0. 0. 2.],324
3,5,[1. 1. 0. 1. 0.],333
3,5,[1. 1. 0. 1. 1.],336
3,5,[1. 1. 0. 1. 2.],333
3,5,[1. 1. 0. 2. 0.],324
3,5,[1. 1. 0. 2. 1.],327
3,5,[1. 1. 0. 2. 2.],324
3,5,[1. 1. 1. 0. 0.],351
3,5,[1. 1. 1. 0. 1.],354
3,5,[1. 1. 1. 0. 2.],351
3,5,[1. 1. 1. 1. 0.],360
3,5,[1. 1. 1. 1. 1.],363
3,5,[1. 1. 1. 1. 2.],360
3,5,[1. 1. 1. 2. 0.],351
3,5,[1. 1. 1. 2. 1.],354
3,5,[1. 1. 1. 2. 2.],351
3,5,[1. 1. 2. 0. 0.],324
3,5,[1. 1. 2. 0. 1.],327
3,5,[1. 1. 2. 0. 2.],324
3,5,[1. 1. 2. 1. 0.],333
3,5,[1. 1. 2. 1. 1.],336
3,5,[1. 1. 2. 1. 2.],333
3,5,[1. 1. 2. 2. 0.],324
3,5,[1. 1. 2. 2. 1.],327
3,5,[1. 1. 2. 2. 2.],324
3,5,[1. 2. 0. 0. 0.],243
3,5,[1. 2. 0. 0. 1.],246
3,5,[1. 2. 0. 0. 2.],243
3,5,[1. 2. 0. 1. 0.],252
3,5,[1. 2. 0. 1. 1.],255
3,5,[1. 2. 0. 1. 2.],252
3,5,[1. 2. 0. 2. 0.],243
3,5,[1. 2. 0. 2. 1.],246
3,5,[1. 2. 0. 2. 2.],243
3,5,[1. 2. 1. 0. 0.],270
3,5,[1. 2. 1. 0. 1.],273
3,5,[1. 2. 1. 0. 2.],270
3,5,[1. 2. 1. 1. 0.],279
3,5,[1. 2. 1. 1. 1.],282
3,5,[1. 2. 1. 1. 2.],279
3,5,[1. 2. 1. 2. 0.],270
3,5,[1. 2. 1. 2. 1.],273
3,5,[1. 2. 1. 2. 2.],270
3,5,[1. 2. 2. 0. 0.],243
3,5,[1. 2. 2. 0. 1.],246
3,5,[1. 2. 2. 0. 2.],243
3,5,[1. 2. 2. 1. 0.],252
3,5,[1. 2. 2. 1. 1.],255
3,5,[1. 2. 2. 1. 2.],252
3,5,[1. 2. 2. 2. 0.],243
3,5,[1. 2. 2. 2. 1.],246
3,5,[1. 2. 2. 2. 2.],243
3,5,[2. 0. 0. 0. 0.],243
3,5,[2. 0. 0. 0. 1.],243
3,5,[2. 0. 0. 0. 2.],246
3,5,[2. 0. 0. 1. 0.],243
3,5,[2. 0. 0. 1. 1.],243
3,5,[2. 0. 0. 1. 2.],246
3,5,[2. 0. 0. 2. 0.],252
3,5,[2. 0. 0. 2. 1.],252
3,5,[2. 0. 0. 2. 2.],255
3,5,[2. 0. 1. 0. 0.],243
3,5,[2. 0. 1. 0. 1.],243
3,5,[2. 0. 1. 0. 2.],246
3,5,[2. 0. 1. 1. 0.],243
3,5,[2. 0. 1. 1. 1.],243
3,5,[2. 0. 1. 1. 2.],246
3,5,[2. 0. 1. 2. 0.],252
3,5,[2. 0. 1. 2. 1.],252
3,5,[2. 0. 1. 2. 2.],255
3,5,[2. 0. 2. 0. 0.],270
3,5,[2. 0. 2. 0. 1.],270
3,5,[2. 0. 2. 0. 2.],273
3,5,[2. 0. 2. 1. 0.],270
3,5,[2. 0. 2. 1. 1.],270
3,5,[2. 0. 2. 1. 2.],273
3,5,[2. 0. 2. 2. 0.],279
3,5,[2. 0. 2. 2. 1.],279
3,5,[2. 0. 2. 2. 2.],282
3,5,[2. 1. 0. 0. 0.],243
3,5,[2. 1. 0. 0. 1.],243
3,5,[2. 1. 0. 0. 2.],246
3,5,[2. 1. 0. 1. 0.],243
3,5,[2. 1. 0. 1. 1.],243
3,5,[2. 1. 0. 1. 2.],246
3,5,[2. 1. 0. 2. 0.],252
3,5,[2. 1. 0. 2. 1.],252
3,5,[2. 1. 0. 2. 2.],255
3,5,[2. 1. 1. 0. 0.],243
3,5,[2. 1. 1. 0. 1.],243
3,5,[2. 1. 1. 0. 2.],246
3,5,[2. 1. 1. 1. 0.],243
3,5,[2. 1. 1. 1. 1.],243
3,5,[2. 1. 1. 1. 2.],246
3,5,[2. 1. 1. 2. 0.],252
3,5,[2. 1. 1. 2. 1.],252
3,5,[2. 1. 1. 2. 2.],255
3,5,[2. 1. 2. 0. 0.],270
3,5,[2. 1. 2. 0. 1.],270
3,5,[2. 1. 2. 0. 2.],273
3,5,[2. 1. 2. 1. 0.],270
3,5,[2. 1. 2. 1. 1.],270
3,5,[2. 1. 2. 1. 2.],273
3,5,[2. 1. 2. 2. 0.],279
3,5,[2. 1. 2. 2. 1.],279
3,5,[2. 1. 2. 2. 2.],282
3,5,[2. 2. 0. 0. 0.],324
3,5,[2. 2. 0. 0. 1.],324
3,5,[2. 2. 0. 0. 2.],327
3,5,[2. 2. 0. 1. 0.],324
3,5,[2. 2. 0. 1. 1.],324
3,5,[2. 2. 0. 1. 2.],327
3,5,[2. 2. 0. 2. 0.],333
3,5,[2. 2. 0. 2. 1.],333
3,5,[2. 2. 0. 2. 2.],336
3,5,[2. 2. 1. 0. 0.],324
3,5,[2. 2. 1. 0. 1.],324
3,5,[2. 2. 1. 0. 2.],327
3,5,[2. 2. 1. 1. 0.],324
3,5,[2. 2. 1. 1. 1.],324
3,5,[2. 2. 1. 1. 2.],327
3,5,[2. 2. 1. 2. 0.],333
3,5,[2. 2. 1. 2. 1.],333
3,5,[2. 2. 1. 2. 2.],336
3,5,[2. 2. 2. 0. 0.],351
3,5,[2. 2. 2. 0. 1.],351
3,5,[2. 2. 2. 0. 2.],354
3,5,[2. 2. 2. 1. 0.],351
3,5,[2. 2. 2. 1. 1.],351
3,5,[2. 2. 2. 1. 2.],354
3,5,[2. 2. 2. 2. 0.],360
3,5,[2. 2. 2. 2. 1.],360
3,5,[2. 2. 2. 2. 2.],363
3,6,[0. 0. 0. 0. 0. 0.],1092
3,6,[0. 0. 0. 0. 0. 1.],1089
3,6,[0. 0. 0. 0. 0. 2.],1089
3,6,[0. 0. 0. 0. 1. 0.],1083
3,6,[0. 0. 0. 0. 1. 1.],1080
3,6,[0. 0. 0. 0. 1. 2.],1080
3,6,[0. 0. 0. 0. 2. 0.],1083
3,6,[0. 0. 0. 0. 2. 1.],1080
3,6,[0. 0. 0. 0. 2. 2.],1080
3,6,[0. 0. 0. 1. 0. 0.],1065
3,6,[0. 0. 0. 1. 0. 1.],1062
3,6,[0. 0. 0. 1. 0. 2.],1062
3,6,[0. 0. 0. 1. 1. 0.],1056
3,6,[0. 0. 0. 1. 1. 1.],1053
3,6,[0. 0. 0. 1. 1. 2.],1053
3,6,[0. 0. 0. 1. 2. 0.],1056
3,6,[0. 0. 0. 1. 2. 1.],1053
3,6,[0. 0. 0. 1. 2. 2.],1053
3,6,[0. 0. 0. 2. 0. 0.],1065
3,6,[0. 0. 0. 2. 0. 1.],1062
3,6,[0. 0. 0. 2. 0. 2.],1062
3,6,[0. 0. 0. 2. 1. 0.],1056
3,6,[0. 0. 0. 2. 1. 1.],1053
3,6,[0. 0. 0. 2. 1. 2.],1053
3,6,[0. 0. 0. 2. 2. 0.],1056
3,6,[0. 0. 0. 2. 2. 1.],1053
3,6,[0. 0. 0. 2. 2. 2.],1053
3,6,[0. 0. 1. 0. 0. 0.],1011
3,6,[0. 0. 1. 0. 0. 1.],1008
